id,email,day,month,year,season,outsideTemprature,outsidePressure,outsideHumidity,outsidePrecip,roomTemprature
1,lgilby0@quantcast.com,22,10,2015,4,32,31,36,123,76
2,ajeannel1@google.fr,18,10,2020,4,37,32,33,74,73
3,hwaterhous2@jiathis.com,18,10,2000,4,33,32,31,111,73
4,gert3@altervista.org,13,10,2002,4,43,31,31,76,72
5,lkroger4@bloglines.com,15,10,2002,4,42,31,37,121,74
6,ililywhite5@canalblog.com,19,10,2013,4,58,31,33,85,76
7,nscolland6@smugmug.com,20,12,2000,4,45,30,32,122,72
8,gjerman7@prlog.org,11,11,2006,4,49,32,31,76,73
9,sgreenrodd8@jugem.jp,1,12,2020,4,41,30,34,106,76
10,roswick9@wisc.edu,20,12,2013,4,25,28,30,64,73
11,rleymana@about.com,25,10,2016,4,57,30,35,87,75
12,scarbettb@who.int,20,12,2003,4,35,31,33,84,72
13,cbroadyc@craigslist.org,22,10,2019,4,38,28,39,126,75
14,aventamd@bloglovin.com,22,11,2001,4,54,28,33,116,76
15,bportte@noaa.gov,16,12,2006,4,56,31,33,110,76
16,kscholfieldf@ustream.tv,21,12,2004,4,29,28,33,94,73
17,npiellg@dmoz.org,29,10,2010,4,31,28,31,123,76
18,arabbeh@noaa.gov,16,12,2007,4,46,31,32,124,76
19,cmariottei@dot.gov,5,11,2009,4,54,32,36,114,72
20,jfaasj@nationalgeographic.com,13,12,2010,4,34,28,31,67,76
21,ddiggark@weather.com,9,12,2019,4,44,29,39,113,76
22,gcromblehomel@mtv.com,9,12,2020,4,25,32,32,108,74
23,bharrillm@prlog.org,28,10,2005,4,29,32,38,114,72
24,bguisbyn@blinklist.com,18,12,2007,4,56,28,40,65,73
25,mmauvino@indiegogo.com,3,11,2011,4,28,28,31,126,76
26,yrecherp@guardian.co.uk,27,12,2007,4,36,29,33,109,76
27,lsmallcombq@newyorker.com,3,11,2015,4,60,31,31,77,72
28,eianillir@blog.com,14,10,2018,4,33,29,34,60,76
29,vkirgans@theguardian.com,29,10,2004,4,44,32,39,109,73
30,gsenyardt@illinois.edu,26,10,2019,4,60,29,38,121,73
31,cwiltshearu@diigo.com,25,10,2004,4,46,31,33,104,74
32,mcutfordv@wordpress.org,4,12,2006,4,27,31,40,124,73
33,wpensonw@ucoz.ru,10,10,2015,4,33,29,39,73,74
34,mcostainx@flavors.me,24,11,2010,4,53,28,39,68,76
35,rghenty@ucsd.edu,7,11,2006,4,44,32,35,101,76
36,ddeverosez@livejournal.com,13,12,2002,4,50,28,32,130,75
37,hspolton10@scribd.com,7,12,2006,4,47,28,30,96,74
38,vcolman11@statcounter.com,16,12,2010,4,58,29,30,88,73
39,nreddyhoff12@mashable.com,15,11,2016,4,44,31,39,96,74
40,hskiplorne13@zdnet.com,7,10,2016,4,59,28,35,97,74
41,asuttaby14@forbes.com,10,12,2014,4,49,31,38,86,74
42,jdewdney15@wisc.edu,11,10,2000,4,56,32,30,74,76
43,gwarland16@wufoo.com,1,12,2013,4,36,29,30,86,76
44,smaccombe17@slate.com,21,11,2008,4,59,28,32,89,74
45,ppatient18@businessinsider.com,4,10,2009,4,52,29,32,96,76
46,dcesaric19@canalblog.com,27,12,2015,4,56,32,37,119,72
47,ccotterrill1a@sitemeter.com,2,10,2005,4,53,31,31,91,72
48,mkerins1b@dyndns.org,26,11,2002,4,58,30,40,67,75
49,lmallindine1c@dailymail.co.uk,20,12,2002,4,40,31,34,93,74
50,vmcconnulty1d@wired.com,20,11,2001,4,57,31,37,84,74
51,gbleaden1e@hc360.com,1,11,2016,4,37,29,40,115,73
52,lgrabb1f@pinterest.com,4,10,2019,4,47,31,37,105,74
53,ahaw1g@virginia.edu,27,11,2008,4,41,30,39,127,74
54,pmckeaney1h@wsj.com,27,10,2018,4,49,28,30,103,74
55,mfenton1i@adobe.com,7,10,2011,4,31,30,36,66,74
56,jbinstead1j@japanpost.jp,6,11,2007,4,32,29,32,125,76
57,tphipardshears1k@flickr.com,6,12,2006,4,42,32,31,106,76
58,wmaybery1l@ycombinator.com,23,11,2006,4,36,31,30,96,76
59,lvarndall1m@opensource.org,26,12,2020,4,40,32,32,76,74
60,pmariel1n@fda.gov,16,10,2000,4,57,30,34,115,74
61,aabrahams1o@creativecommons.org,4,11,2004,4,52,28,36,118,73
62,npickthorn1p@yellowpages.com,6,12,2003,4,47,32,38,130,75
63,jdunthorn1q@cnn.com,9,10,2020,4,43,30,33,113,76
64,fguillain1r@dot.gov,4,10,2013,4,28,28,30,63,73
65,gkleeborn1s@guardian.co.uk,11,10,2002,4,50,29,35,65,76
66,dcurnnokk1t@bravesites.com,29,12,2015,4,56,32,34,79,75
67,wcarde1u@163.com,26,10,2003,4,55,32,34,128,72
68,vcordelette1v@csmonitor.com,9,10,2001,4,34,28,36,93,72
69,msuddaby1w@naver.com,15,12,2019,4,47,28,37,111,72
70,elaxton1x@deliciousdays.com,4,11,2000,4,50,32,36,101,74
71,pkohn1y@admin.ch,4,10,2017,4,27,30,39,117,75
72,rmcgurk1z@soundcloud.com,23,10,2017,4,41,30,35,69,76
73,hreside20@networkadvertising.org,12,10,2010,4,59,30,32,120,72
